State,Year,Residence_Type,NFHS_Version,Women_With_Bank_Account_Perc,Women_With_Mobile_Phone_Perc,Women_Literacy_Perc,Men_Literacy_Perc,Child_Full_Vaccination_Perc,Child_Stunting_Perc,Child_Anaemia_Perc,Women_Anaemia_Perc,Institutional_Births_Perc,Clean_Fuel_Usage_Perc,Improved_Sanitation_Perc,Health_Insurance_Coverage_Perc,Infant_Mortality_Rate,Spousal_Violence_Perc
Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,89.8,80.9,85.6,94.7,84.8,26.4,33.3,57.6,98.7,71.0,88.0,1.6,8.4,13.2
Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,88.5,80.8,86.6,89.3,72.1,18.2,47.8,57.2,99.2,95.6,88.0,1.4,,23.2
Andhra Pradesh,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,79.6,40.9,63.8,76.3,74.7,34.2,65.0,59.3,95.7,77.9,72.1,73.7,30.4,30.5
Andhra Pradesh,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,86.7,67.4,79.0,86.4,69.3,23.1,58.7,57.8,98.6,96.6,89.1,62.2,29.8,28.8
Arunachal Pradesh,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,76.7,75.3,69.0,84.5,64.6,27.9,57.1,41.0,77.3,46.3,83.4,28.5,12.3,26.0
Arunachal Pradesh,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,86.0,81.9,82.9,91.4,66.8,28.4,52.8,36.5,90.6,90.2,79.9,33.6,16.7,18.5
Assam,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,77.9,53.9,75.4,82.8,66.9,36.0,68.6,66.0,82.9,33.7,68.4,61.9,33.1,32.9
Assam,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,81.9,75.4,87.5,92.6,63.2,29.8,66.4,65.2,93.5,85.5,69.7,50.1,22.7,26.6
Bihar,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,76.2,49.3,54.5,77.0,71.6,43.9,69.7,63.1,75.0,30.3,45.7,15.1,47.3,39.9
Bihar,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,79.1,61.8,74.9,84.0,66.7,36.8,67.9,65.6,84.1,78.6,69.2,11.6,43.1,40.6
Chandigarh,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,,,-57.7,,,,,-64.0,,,47.6,,,
Chandigarh,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,87.1,70.0,78.9,90.2,-81.7,25.2,55.0,60.3,97.0,95.8,85.4,32.3,,9.7
Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,81.1,34.0,69.1,82.0,80.4,35.7,66.2,62.2,83.9,19.2,73.5,72.1,48.7,22.2
Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,77.9,61.2,83.4,84.8,77.3,30.0,71.1,56.5,93.1,80.2,88.2,68.8,26.2,14.0
Delhi,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,-84.8,-81.0,87.8,-93.5,-74.7,26.3,81.7,58.6,90.4,97.6,87.3,27.1,,-10.3
Delhi,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,72.3,73.7,83.6,90.2,76.0,31.0,68.7,49.7,91.8,99.0,81.0,25.0,24.2,22.8
Goa,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,92.4,87.1,93.4,98.5,88.1,28.2,53.1,37.4,100.0,93.1,86.4,67.5,,11.4
Goa,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,85.1,94.5,92.6,94.9,77.9,24.3,53.3,40.0,99.6,98.8,89.0,65.1,,6.0
Gujarat,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,67.5,36.2,69.0,87.5,75.9,43.0,81.2,67.6,92.2,46.1,63.3,41.1,35.5,16.8
Gujarat,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,73.5,66.0,86.8,95.4,77.0,32.4,77.6,61.3,97.8,94.3,89.3,36.3,24.1,10.0
Haryana,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,72.4,43.4,76.7,90.6,77.9,28.1,71.5,61.9,94.4,42.6,84.6,24.2,35.3,18.2
Haryana,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,76.3,65.1,85.7,93.3,74.3,26.1,68.1,57.4,96.1,90.5,86.0,28.3,28.6,18.0
Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,82.2,77.8,91.2,95.4,88.5,31.3,55.0,53.3,87.6,44.5,81.3,34.1,27.1,8.7
Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,88.8,90.9,95.0,91.7,94.1,27.0,58.2,51.0,93.1,94.7,85.0,37.1,,6.0
Jammu and Kashmir,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,83.5,73.3,74.7,91.4,87.2,25.9,73.5,67.5,90.5,58.9,72.3,10.2,16.7,11.0
Jammu and Kashmir,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,88.5,80.4,84.3,91.8,83.0,30.1,70.1,61.4,98.6,95.8,85.6,19.2,14.7,5.9
Jharkhand,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,79.8,43.7,55.6,77.4,75.1,42.3,67.9,66.7,73.1,19.5,50.8,53.1,41.1,33.4
Jharkhand,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,79.2,65.2,80.1,92.0,67.8,26.8,65.5,61.1,89.1,71.0,75.9,41.6,22.2,25.3
Karnataka,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,87.7,53.4,71.0,87.0,86.5,37.2,67.1,50.3,96.2,69.3,68.5,28.0,27.8,44.4
Karnataka,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,90.2,74.2,85.1,90.5,80.0,32.2,62.8,43.9,98.3,94.5,84.4,28.2,21.4,44.5
Kerala,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,78.2,86.9,97.5,97.4,78.0,26.4,39.8,35.8,99.8,66.3,98.5,55.4,5.2,9.9
Kerala,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,78.9,86.2,99.1,99.2,77.6,20.1,38.9,37.0,99.7,78.5,99.0,47.2,3.5,9.9
Ladakh,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,88.7,81.2,76.6,94.2,91.9,31.1,95.1,93.5,94.0,71.3,34.8,12.1,17.4,19.0
Ladakh,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,87.2,80.8,77.7,91.9,,28.2,84.1,89.5,99.1,97.2,74.7,26.7,,11.7
Lakshadweep,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,67.0,80.1,96.8,96.3,,35.6,36.1,23.7,100.0,24.7,100.0,66.7,,
Lakshadweep,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,66.9,85.1,96.4,100.0,87.0,30.7,45.5,26.4,99.5,68.5,99.7,58.4,,1.0
Madhya Pradesh,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,73.3,31.4,59.2,78.7,77.3,37.3,72.7,55.8,89.2,23.6,59.2,36.8,43.5,28.7
Madhya Pradesh,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,78.5,58.8,81.5,88.3,76.5,30.1,72.5,51.5,95.8,84.3,81.2,41.4,33.9,26.4
Maharashtra,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,70.9,43.1,79.5,91.5,74.7,35.5,70.7,56.1,93.1,65.4,69.4,19.9,23.7,28.6
Maharashtra,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,75.0,68.2,90.2,94.6,71.7,34.9,66.3,52.0,96.7,95.6,75.1,20.1,22.6,21.0
Manipur,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,70.7,68.2,84.8,94.0,65.9,25.1,42.2,28.8,73.9,60.7,67.5,15.3,31.1,42.8
Manipur,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,78.6,77.8,92.1,96.9,75.1,20.1,44.0,30.5,92.5,86.4,60.6,12.3,12.2,35.0
Meghalaya,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,68.2,64.3,85.5,81.5,64.7,48.2,46.0,54.3,54.3,21.7,83.3,66.5,33.6,14.2
Meghalaya,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,78.0,78.2,97.1,92.9,58.3,35.1,38.8,51.8,82.7,76.7,81.3,52.8,23.4,23.2
Mizoram,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,75.0,70.6,87.7,94.2,75.2,31.9,49.6,39.9,72.5,66.4,93.2,52.8,22.0,10.3
Mizoram,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,85.4,91.8,99.1,99.2,69.6,25.5,42.8,30.8,98.8,97.9,97.1,41.2,20.6,11.3
Nagaland,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,55.4,76.3,82.7,90.7,53.7,34.7,41.4,29.8,38.8,24.9,90.4,23.1,25.8,7.0
Nagaland,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,77.9,93.0,91.5,97.7,68.9,27.1,46.4,27.3,65.0,81.1,82.2,15.0,17.0,5.2
Odisha,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,87.4,48.0,66.7,83.4,90.2,32.0,65.6,64.9,91.3,26.1,58.0,51.7,37.2,30.6
Odisha,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,82.8,58.8,81.9,88.8,92.0,24.9,56.2,61.5,97.5,76.9,72.3,29.5,31.2,30.6
Puducherry,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,96.7,76.6,87.4,95.5,-68.4,15.6,60.8,61.4,99.7,84.6,74.0,30.5,,32.5
Puducherry,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,90.9,85.5,90.7,93.2,85.5,21.7,65.3,52.3,99.5,95.8,89.8,30.0,4.1,29.8
Punjab,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,82.1,54.9,78.0,85.5,77.9,23.9,71.1,58.5,95.5,65.6,85.9,23.6,32.4,12.6
Punjab,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,80.9,71.0,81.6,88.7,73.2,25.7,71.0,59.0,92.0,93.8,87.8,27.5,20.1,10.2
Rajasthan,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,79.0,45.3,59.9,88.0,79.7,32.6,72.4,55.7,94.2,26.2,66.1,90.4,32.2,24.9
Rajasthan,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,81.7,65.5,80.1,91.4,83.2,28.3,68.3,49.9,97.5,87.8,87.2,80.0,22.2,22.4
Sikkim,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,76.7,83.3,86.2,90.3,83.2,25.6,57.1,41.9,96.3,64.4,89.3,21.6,17.8,11.7
Sikkim,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,76.0,96.9,92.8,96.9,,15.1,54.8,42.4,92.0,97.5,84.0,31.2,,13.1
Tamil Nadu,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,91.7,68.9,79.6,89.6,91.7,27.2,60.4,55.3,99.4,73.7,63.3,71.4,21.7,42.2
Tamil Nadu,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,92.7,81.2,88.9,92.0,86.4,22.2,53.7,51.3,99.8,92.9,82.8,61.1,14.9,32.9
Telangana,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,85.2,50.6,58.1,81.3,81.5,35.7,72.8,58.9,96.6,88.3,72.9,65.0,29.3,42.3
Telangana,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,83.0,75.2,81.0,90.2,74.7,28.1,64.7,55.2,97.7,98.2,81.8,52.9,22.0,27.3
The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,89.3,45.5,67.9,91.6,100.0,45.7,76.8,64.4,96.7,62.6,63.3,66.3,30.4,10.8
The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,78.0,75.4,87.7,95.4,90.0,32.9,75.0,60.5,96.4,95.2,68.5,39.5,33.3,21.8
Tripura,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,77.7,48.0,76.9,86.0,65.5,33.9,66.5,67.6,87.5,32.6,71.6,36.5,41.8,23.4
Tripura,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,74.9,66.2,89.9,93.5,82.4,27.1,57.3,66.1,94.8,75.4,78.5,24.9,23.2,14.0
Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,74.1,42.4,62.4,81.2,70.2,41.3,66.7,50.5,82.9,36.2,64.8,15.5,52.6,35.5
Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,79.8,59.9,77.2,84.1,67.2,33.0,65.3,50.1,85.5,88.3,80.9,16.8,42.0,32.7
Uttarakhand,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,79.8,55.7,78.0,90.1,80.2,28.2,56.6,41.1,80.4,42.9,77.7,62.9,39.5,16.2
Uttarakhand,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,81.3,73.1,83.4,87.5,82.0,24.3,63.8,45.8,89.4,92.9,81.0,61.6,38.3,12.5
West Bengal,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,73.2,39.1,72.5,77.8,89.3,34.4,71.3,74.4,91.6,20.5,64.7,31.0,22.4,28.7
West Bengal,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,82.9,71.9,83.4,89.8,83.6,32.1,63.0,65.1,92.3,80.3,75.0,25.9,21.0,22.9
Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,81.8,66.9,,,73.2,23.3,49.0,65.7,96.4,63.5,75.4,5.7,9.8,18.4
Andhra Pradesh,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,66.3,36.2,,,65.3,31.4,58.6,60.0,91.5,62.0,54.4,74.6,34.9,43.4
Arunachal Pradesh,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,56.6,59.8,,,38.2,29.4,54.2,43.2,52.2,45.0,61.6,58.3,22.9,31.0
Assam,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,45.4,46.0,,,47.1,36.4,35.7,46.0,70.6,25.1,49.0,10.4,47.6,24.5
Bihar,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,26.4,40.9,,,61.7,48.3,63.5,60.3,63.8,17.8,26.5,12.3,48.1,43.7
Chandigarh,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,79.6,74.2,,,-79.5,28.7,73.1,75.9,91.6,93.9,83.7,21.3,,22.5
Chhattisgarh,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,51.3,31.0,,,76.4,37.6,41.6,47.0,70.2,22.8,34.8,68.5,54.0,36.8
Delhi,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,64.5,66.6,,,68.8,31.9,59.7,54.3,84.4,97.9,75.1,15.7,31.2,26.8
Goa,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,82.8,80.9,,,88.4,20.1,48.3,31.3,96.9,84.1,78.7,15.9,12.9,12.9
Gujarat,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,48.6,47.9,,,50.4,38.5,62.6,54.9,88.5,52.6,63.6,23.1,34.2,20.2
Haryana,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,45.6,50.5,,,62.2,34.0,71.7,62.7,80.4,52.2,80.6,12.2,32.8,32.0
Himachal Pradesh,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,68.8,73.9,,,69.5,26.3,53.7,53.5,76.4,36.7,72.3,25.8,34.3,5.9
Jammu and Kashmir,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,60.0,53.9,,,75.0,27.4,53.8,48.9,85.5,57.5,53.8,4.3,32.4,9.4
Jharkhand,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,45.1,35.2,,,61.9,45.3,69.9,65.2,61.9,18.9,25.0,13.3,43.8,34.0
Karnataka,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,59.4,47.1,,,62.6,36.2,60.9,44.8,94.0,54.7,57.8,28.1,26.9,20.6
Kerala,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,70.6,81.2,,,82.1,19.7,35.7,34.3,99.8,57.4,98.2,47.7,5.6,14.3
Ladakh,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,75.9,71.2,,,81.9,30.9,91.4,78.4,90.8,67.6,17.8,2.3,35.3,8.5
Lakshadweep,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,74.4,64.9,,,89.0,26.8,53.6,46.0,99.3,31.8,99.6,2.9,27.0,8.9
Madhya Pradesh,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,37.3,28.7,,,53.6,42.0,68.9,52.5,80.8,29.6,34.8,17.7,51.2,33.0
Maharashtra,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,45.3,45.6,,,56.2,34.4,53.8,48.0,90.3,59.9,52.3,15.0,23.7,21.3
Manipur,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,34.8,63.1,,,65.8,28.9,23.9,26.4,69.1,42.1,52.6,3.6,21.7,53.2
Meghalaya,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,54.4,64.3,,,61.4,43.8,48.0,56.2,51.4,21.8,61.4,34.6,29.9,28.8
Mizoram,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,57.1,77.0,,,50.7,28.1,19.3,24.8,79.7,66.1,84.4,45.8,40.1,17.1
Nagaland,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,38.8,70.4,,,35.4,28.6,26.4,27.9,32.8,32.8,76.7,6.1,29.5,13.1
Odisha,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,56.2,39.2,,,78.6,34.1,44.6,51.0,85.3,19.2,30.0,47.7,39.6,35.2
Puducherry,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,68.2,67.3,,,91.3,23.7,44.9,52.4,99.9,84.8,64.8,32.8,15.7,34.6
Punjab,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,58.8,57.2,,,89.1,25.7,56.6,53.5,90.5,65.9,82.7,21.2,29.2,20.5
Rajasthan,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,58.2,41.4,,,54.8,39.1,60.3,46.8,84.0,31.8,46.1,18.7,41.3,25.2
Sikkim,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,63.5,79.8,,,83.0,29.6,55.1,34.9,94.7,59.1,89.7,30.3,29.5,2.6
Tamil Nadu,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,77.0,62.0,,,69.7,27.1,50.7,55.0,98.9,73.0,52.5,64.1,20.2,40.7
Telangana,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,59.5,47.4,,,67.5,28.0,60.7,56.6,91.5,67.3,52.3,66.4,27.7,42.9
The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,46.5,46.0,,,50.5,37.2,82.0,72.9,88.5,63.1,44.4,25.3,33.4,30.0
Tripura,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,59.2,43.9,,,54.5,24.3,48.3,54.5,79.9,31.9,63.7,58.1,26.7,28.1
Uttar Pradesh,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,54.6,37.1,,,51.1,46.3,63.2,52.4,67.8,32.7,36.4,6.1,63.5,36.7
Uttarakhand,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,58.5,55.4,,,57.6,33.5,59.8,45.2,68.6,51.0,66.2,19.5,39.7,12.7
West Bengal,"Calendar Year (Jan - Dec), 2015",Total,NFHS-4,43.5,41.8,,,84.4,32.5,54.2,62.5,75.2,27.8,52.8,33.4,27.5,33.1
